First_pokemon,First_Name,Second_pokemon,Second_Name,Winner,Winner_Name
266,Larvitar,298,Nuzleaf,298,Nuzleaf
702,Virizion,701,Terrakion,701,Terrakion
191,Togetic,668,Beheeyem,668,Beheeyem
237,Slugma,683,Druddigon,683,Druddigon
151,Omastar,231,Shuckle,151,Omastar
657,Joltik,752,Aegislash Shield Forme,657,Joltik
192,Natu,134,Jynx,134,Jynx
73,Machop,545,Giratina Altered Forme,545,Giratina Altered Forme
220,Pineco,763,Clauncher,763,Clauncher
302,Wingull,31,Pikachu,31,Pikachu
442,Starly,130,Staryu,130,Staryu
701,Terrakion,624,Yamask,701,Terrakion
15,Metapod,283,Swampert,283,Swampert
151,Omastar,87,Slowbro,151,Omastar
269,Mega Tyranitar,462,Mothim,269,Mega Tyranitar
763,Clauncher,448,Kricketune,448,Kricketune
143,Lapras,263,Raikou,263,Raikou
365,Swablu,240,Piloswine,240,Piloswine
499,Mega Lucario,774,Carbink,499,Mega Lucario
563,Samurott,578,Musharna,563,Samurott
440,Prinplup,687,Bisharp,687,Bisharp
373,Whiscash,441,Empoleon,441,Empoleon
654,Frillish,671,Chandelure,671,Chandelure
121,Rhydon,355,Mega Camerupt,121,Rhydon
609,Petilil,649,Emolga,649,Emolga
270,Lugia,708,Zekrom,270,Lugia
460,Wormadam Sandy Cloak,568,Stoutland,568,Stoutland
626,Tirtouga,767,Tyrunt,767,Tyrunt
139,Tauros,451,Luxray,139,Tauros
694,Durant,747,Meowstic Male,694,Durant
455,Rampardos,549,Manaphy,549,Manaphy
181,Ledian,301,Swellow,301,Swellow
208,Sunflora,184,Crobat,184,Crobat
536,Fan Rotom,365,Swablu,536,Fan Rotom
260,Magby,381,Armaldo,381,Armaldo
471,Gastrodon,269,Mega Tyranitar,269,Mega Tyranitar
621,Scraggy,287,Zigzagoon,287,Zigzagoon
406,Luvdisc,134,Jynx,406,Luvdisc
592,Mega Audino,503,Drapion,503,Drapion
564,Patrat,242,Remoraid,242,Remoraid
579,Pidove,242,Remoraid,242,Remoraid
200,Azumarill,719,Chespin,200,Azumarill
376,Baltoy,135,Electabuzz,376,Baltoy
76,Bellsprout,441,Empoleon,441,Empoleon
667,Elgyem,645,Vanillish,645,Vanillish
475,Buneary,400,Sealeo,475,Buneary
3,Venusaur,737,Pyroar,737,Pyroar
435,Torterra,45,Jigglypuff,435,Torterra
231,Shuckle,146,Vaporeon,146,Vaporeon
510,Snover,715,Keldeo Resolute Forme,715,Keldeo Resolute Forme
456,Shieldon,260,Magby,260,Magby
164,Mega Mewtwo X,751,Aegislash Blade Forme,751,Aegislash Blade Forme
424,Groudon,754,Aromatisse,424,Groudon
