First_pokemon,First_Name,Second_pokemon,Second_Name,Winner,Winner_Name,Winner_bool
266,Larvitar,298,Nuzleaf,298,Nuzleaf,0
702,Virizion,701,Terrakion,701,Terrakion,0
191,Togetic,668,Beheeyem,668,Beheeyem,0
237,Slugma,683,Druddigon,683,Druddigon,0
151,Omastar,231,Shuckle,151,Omastar,1
657,Joltik,752,Aegislash Shield Forme,657,Joltik,1
192,Natu,134,Jynx,134,Jynx,0
73,Machop,545,Giratina Altered Forme,545,Giratina Altered Forme,0
220,Pineco,763,Clauncher,763,Clauncher,0
302,Wingull,31,Pikachu,31,Pikachu,0
442,Starly,130,Staryu,130,Staryu,0
701,Terrakion,624,Yamask,701,Terrakion,1
15,Metapod,283,Swampert,283,Swampert,0
151,Omastar,87,Slowbro,151,Omastar,1
269,Mega Tyranitar,462,Mothim,269,Mega Tyranitar,1
763,Clauncher,448,Kricketune,448,Kricketune,0
143,Lapras,263,Raikou,263,Raikou,0
365,Swablu,240,Piloswine,240,Piloswine,0
499,Mega Lucario,774,Carbink,499,Mega Lucario,1
563,Samurott,578,Musharna,563,Samurott,1
440,Prinplup,687,Bisharp,687,Bisharp,0
373,Whiscash,441,Empoleon,441,Empoleon,0
654,Frillish,671,Chandelure,671,Chandelure,0
121,Rhydon,355,Mega Camerupt,121,Rhydon,1
609,Petilil,649,Emolga,649,Emolga,0
270,Lugia,708,Zekrom,270,Lugia,1
460,Wormadam Sandy Cloak,568,Stoutland,568,Stoutland,0
626,Tirtouga,767,Tyrunt,767,Tyrunt,0
139,Tauros,451,Luxray,139,Tauros,1
694,Durant,747,Meowstic Male,694,Durant,1
455,Rampardos,549,Manaphy,549,Manaphy,0
181,Ledian,301,Swellow,301,Swellow,0
208,Sunflora,184,Crobat,184,Crobat,0
536,Fan Rotom,365,Swablu,536,Fan Rotom,1
260,Magby,381,Armaldo,381,Armaldo,0
471,Gastrodon,269,Mega Tyranitar,269,Mega Tyranitar,0
621,Scraggy,287,Zigzagoon,287,Zigzagoon,0
406,Luvdisc,134,Jynx,406,Luvdisc,1
592,Mega Audino,503,Drapion,503,Drapion,0
564,Patrat,242,Remoraid,242,Remoraid,0
579,Pidove,242,Remoraid,242,Remoraid,0
200,Azumarill,719,Chespin,200,Azumarill,1
376,Baltoy,135,Electabuzz,376,Baltoy,1
76,Bellsprout,441,Empoleon,441,Empoleon,0
667,Elgyem,645,Vanillish,645,Vanillish,0
475,Buneary,400,Sealeo,475,Buneary,1
3,Venusaur,737,Pyroar,737,Pyroar,0
435,Torterra,45,Jigglypuff,435,Torterra,1
231,Shuckle,146,Vaporeon,146,Vaporeon,0
510,Snover,715,Keldeo Resolute Forme,715,Keldeo Resolute Forme,0
456,Shieldon,260,Magby,260,Magby,0
164,Mega Mewtwo X,751,Aegislash Blade Forme,751,Aegislash Blade Forme,0
424,Groudon,754,Aromatisse,424,Groudon,1
258,Smoochum,779,Phantump,258,Smoochum,1
360,Trapinch,208,Sunflora,208,Sunflora,0
723,Braixen,646,Vanilluxe,646,Vanilluxe,0
384,Castform,533,Heat Rotom,533,Heat Rotom,0
734,Spewpa,673,Fraxure,673,Fraxure,0
141,Gyarados,721,Chesnaught,141,Gyarados,1
244,Delibird,741,Skiddo,244,Delibird,1
509,Mantyke,217,Unown,509,Mantyke,1
633,Zoroark,44,Ninetales,633,Zoroark,1
595,Conkeldurr,719,Chespin,595,Conkeldurr,1
606,Scolipede,40,Nidoking,606,Scolipede,1
368,Zangoose,598,Seismitoad,368,Zangoose,1
746,Espurr,584,Roggenrola,746,Espurr,1
350,Mega Sharpedo,187,Pichu,350,Mega Sharpedo,1
303,Pelipper,198,Bellossom,303,Pelipper,1
169,Meganium,701,Terrakion,701,Terrakion,0
569,Purrloin,115,Hitmonlee,115,Hitmonlee,0
231,Shuckle,172,Typhlosion,172,Typhlosion,0
71,Alakazam,440,Prinplup,71,Alakazam,1
659,Ferroseed,610,Lilligant,610,Lilligant,0
570,Liepard,557,Serperior,557,Serperior,0
712,Kyurem Black Kyurem,40,Nidoking,712,Kyurem Black Kyurem,1
451,Luxray,352,Wailord,451,Luxray,1
661,Klink,95,Dewgong,95,Dewgong,0
540,Azelf,4,Mega Venusaur,540,Azelf,1
130,Staryu,319,Loudred,130,Staryu,1
125,Mega Kangaskhan,418,Latias,418,Latias,0
309,Masquerain,276,Mega Sceptile,276,Mega Sceptile,0
579,Pidove,612,Sandile,612,Sandile,0
716,Meloetta Aria Forme,80,Tentacruel,80,Tentacruel,0
